et,en,ru
Aktiivsed kasutajad,Active users,Aктивные пользователи
Iganädalane küsimustik,Weekly questionnaire,Еженедельная анкета
"Palun teatage ka siis, kui teil ei olnud kaebusi.",Please also report if you had no complaints.,"Пожалуйста, также сообщите, не было ли у вас жалоб."
Kestus 1-5 minutit,Duration 1-5 minutes,Продолжительность от 1 до 5 минут
"Kas teil on pärast viimast küsimustiku täitmist esinenud mõni järgmistest sümptomitest (või viimase nädala jooksul, kui täidate küsimustikku esimest korda)?","Have you had any of the following symptoms since your last questionnaire (or in the past week, if this the first tie you are taking this questionnaire)?","Были ли у вас какие-либо из следующих симптомов после заполнения последней анкеты (или на прошлой неделе, если вы впервые заполняете эту анкету)?"
Miks me seda küsime?,Why are we asking this question?,Почему мы задаем этот вопрос?
Selle uuringu kõige olulisem osa on teie teatatud sümptomite jälgimine.,The most important part of this study is about following up on the symptoms you have reported.,"Самая важная часть этого исследования — наблюдение за симптомами, о которых вы сообщили."
Kuidas ma peaksin sellele küsimusele vastama?,How should I answer this question?,Как мне ответить на этот вопрос?
"Kui põete kroonilist haigust, märkige vaid sümptomid, mis on muutunud. Näiteks kui teil tekib krooniline õhupuudus, märkige see sümptom alles siis, kui see on hiljuti süvenenud. Võimalik mitu vastust.","If you suffer from chronic illness, only indicate symptoms that have changed. For example, if you experience chronic shortness of breath, only mark this symptom if it has recently gotten worse. Multiple answers possible.","Если вы страдаете хроническим заболеванием, указывайте только те симптомы, которые изменились. Например, если вы испытываете хроническую одышку, отмечайте этот симптом только в том случае, если он недавно ухудшился. Возможно несколько ответов."
"Võimalik mitu vastust. Kui põete kroonilist haigust, märkige ainult sümptomid, mis on muutunud. Näiteks kui teil tekib krooniline õhupuudus, märkige see sümptom alles siis, kui see on hiljuti süvenenud.","Multiple answers possible. If you suffer from chronic illness, only indicate symptoms that have changed. For example, if you experience chronic shortness of breath, only mark this symptom if it has recently gotten worse.","Возможно несколько ответов. Если вы страдаете хроническим заболеванием, указывайте только те симптомы, которые изменились. Например, если вы испытываете хроническую одышку, отмечайте этот симптом только в том случае, если он недавно ухудшился."
Sümptomeid pole,No symptoms,Нет симптомов
Palavik,Fever,Высокая температура
Külmavärinad,Chills,Озноб
Nohu või ninakinnisus,Runny or blocked nose,Насморк или заложенный нос
Aevastamine,Sneezing,Чихание
Kurguvalu,Sore throat,Боль в горле
Köha,Cough,Кашель
Õhupuudus,Shortness of breath,Одышка
Peavalu,Headache,Головная боль
Lihas-/liigesevalu,Muscle/joint pain,Мышечная/суставная боль
Valu rinnus,Chest pain,Боль в груди
Väsimuse või kurnatuse tunne (halb enesetunne),Feeling tired or exhausted (malaise),Чувство усталости или истощения (недомогание)
Söögiisu kaotus,Loss of appetite,Потеря аппетита
"Läbipaistmatu, värvusega röga / lima",Coloured sputum/phlegm,Окрашенная слюна/мокрота
"Vesised, punased silmad","Watery, bloodshot eyes","Слезящиеся, налитые кровью глаза"
Iiveldustunne,Nausea,Тошнота
Oksendamine,Vomiting,Рвота
Kõhulahtisus,Diarrhoea,Диарея
Kõhuvalu,Stomach ache,Боли в животе
Lõhnataju kadumine,Loss of smell,Потеря обоняния
Maitsetaju kadumine,Loss of taste,Потеря вкуса
Nina verejooks,Nose bleed,Носовое кровотечение
Lööve,Rash,Сыпь
Muu,Other,Другое
"Eelmist ankeeti täites andsite teada, et olete endiselt haige. Kas sümptomid, millest praegu teatate, pärinevad samast ajavahemikust kui sümptomid, millest teatasite eelmisel korral?","When you filled in the previous questionnaire, you indicated that you were still sick. Are the symptoms you are reporting now from the same timeframe as the symptoms you reported the last time?","Когда вы заполняли предыдущую анкету, вы указали, что всё еще болеете. Симптомы, о которых вы сообщаете сейчас, относятся к тому же периоду времени, что и симптомы, о которых вы сообщали в прошлый раз?"
Et kiirendada ülejäänud küsimustiku täitmist.,To speed up the completion of the rest of the questionnaire.,Чтобы ускорить заполнение остальной части анкеты.
"Kui arvate, et kaebused, millest täna teatate, on põhjustatud samast infektsioonist või samast probleemist (samal perioodil, mil kaebusi kogesite), vastake 'jah'.","If you think that the complaints you are indicating today are caused by the same infection or the same problem (the same period during which you experienced the complaints), answer 'yes'.","Если вы считаете, что жалобы, которые вы указываете сегодня, вызваны той же инфекцией или той же проблемой (продолжается тот же период, в течение которого вы испытывали жалобы), ответьте 'да'."
Jah,Yes,Да
Ei,No,Нет
Ma ei tea/ei mäleta,I don’t know/can’t remember,Не знаю/Не помню
See ei kehti minu kohta.,This does not apply to me,Ко мне это не относится
"Kas olete 14 päeva jooksul enne sümptomite ilmnemist olnud tihedas kontaktis kellegagi, kelle antigeen- või PCR-test on kinnitanud, et tal on COVID-19?","In the 14 days before your symptoms started, have you been in close contact with someone for whom an antigenic or PCR test has confirmed that they have COVID-19?","В течение 14 дней до появления у вас симптомов были ли вы в тесном контакте с кем-то, у кого антигенный или ПЦР-тест подтвердил наличие COVID-19?"
"Selleks, et uurida, kuidas koroonaviirus levib elanikkonnas.",In order to study how the coronavirus spreads within the general population.,"Чтобы изучить, как коронавирус распространяется среди населения в целом."
Kas see inimene või üks neist inimestest oli teie leibkonna liige?,Was this person or one of these persons a member of your household?,Был ли этот человек или одно из этих лиц членом вашего домохозяйства?
Koroonaviirus ja gripp levivad kiiresti siseruumides.,The coronavirus and influenza spread quickly indoors.,Коронавирус и грипп быстро распространяются в помещении.
"Leibkonnaliige on määratletud kui isik (ei ole tingimata pereliige), kes elab teiega samal aadressil ja kes jagab teiega kööki, elutuba, peretuba või söögituba.","A member of the household is defined as a person (not necessary a family member) who lives at the same address as you, and who shares the kitchen, living room, family room or dining room.","Член домохозяйства определяется как человек (не обязательно член семьи), который проживает по тому же адресу, что и вы, и который делит с вами кухню, гостиную, семейную комнату или столовую."
Ma ei tea,I don’t know,Я не знаю
"Mis päeval hakkasite tundma esimesi sümptomeid? Kui te ei mäleta täpset kuupäeva, märkige ligikaudne kuupäev.","On what day did you begin feeling the first symptoms? If you do not recall the exact date, please give an approximate date.","В какой день вы почувствовали первые симптомы? Если вы не помните точную дату, укажите приблизительную."
