question,question_nr,key,label
Are you currently still unable to work or attend school due to your symptoms/complaints?,weekly.EX.Q10b,0,Yes
Are you currently still unable to work or attend school due to your symptoms/complaints?,weekly.EX.Q10b,1,No
Are you currently still unable to work or attend school due to your symptoms/complaints?,weekly.EX.Q10b,3,Other (I did not have to work or go to school today in any case)
"Because of your symptoms, did you VISIT (see face to face or teleconsultation) any medical services?",weekly.EX.Q7,0,No
"Because of your symptoms, did you VISIT (see face to face or teleconsultation) any medical services?",weekly.EX.Q7,1,GP or GP's practice nurse
"Because of your symptoms, did you VISIT (see face to face or teleconsultation) any medical services?",weekly.EX.Q7,2,Hospital admission
"Because of your symptoms, did you VISIT (see face to face or teleconsultation) any medical services?",weekly.EX.Q7,3,Hospital accident & emergency department / out of hours service
"Because of your symptoms, did you VISIT (see face to face or teleconsultation) any medical services?",weekly.EX.Q7,4,Other medical services
"Because of your symptoms, did you VISIT (see face to face or teleconsultation) any medical services?",weekly.EX.Q7,5,"No, but I have an appointment scheduled"
"Because of your symptoms, did you undergo a test/analyses to know if you have COVID-19?",weekly.EX.Qcov16h,1,Yes
"Because of your symptoms, did you undergo a test/analyses to know if you have COVID-19?",weekly.EX.Qcov16h,2,"Not yet, I plan to shortly undergo a test"
"Because of your symptoms, did you undergo a test/analyses to know if you have COVID-19?",weekly.EX.Qcov16h,3,"No, I have a prescription but will not undergo a test"
"Because of your symptoms, did you undergo a test/analyses to know if you have COVID-19?",weekly.EX.Qcov16h,0,No
"Because of your symptoms, did you undergo a test/analyses to know if you have the Flu?",weekly.EX.Qcov19,1,"Yes, a PCR test based on a swab in nose or mouth, or a sputum or saliva sample"
"Because of your symptoms, did you undergo a test/analyses to know if you have the Flu?",weekly.EX.Qcov19,5,"Yes, a rapid detection test (result available in less than an hour)"
"Because of your symptoms, did you undergo a test/analyses to know if you have the Flu?",weekly.EX.Qcov19,3,"Not yet, I have a prescription and plan to shortly undergo a test"
"Because of your symptoms, did you undergo a test/analyses to know if you have the Flu?",weekly.EX.Qcov19,4,"No, I have a prescription but will not undergo a test"
"Because of your symptoms, did you undergo a test/analyses to know if you have the Flu?",weekly.EX.Qcov19,0,No
"Because of your symptoms, were you hospitalized?",weekly.EX.Q14,1,Yes
"Because of your symptoms, were you hospitalized?",weekly.EX.Q14,0,No
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,likert_1,NA
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,1,"Yes, I am following this measure now for the first time, or in a stricter way"
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,2,"No, I was already following this measure"
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,0,"No, I am not following this measure"
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,3,Not applicable
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,likert_2,NA
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,likert_3,NA
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,likert_4a,NA
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,likert_4b,NA
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,likert_5,NA
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,likert_11,NA
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,likert_6,NA
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,likert_7,NA
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,likert_8,NA
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,likert_9,NA
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,likert_10,NA
"Did you begin to follow or increase any of the measures below, due to your symptoms (compared to the period before your symptoms began)?",weekly.EX.Qcov7,likert_13,NA
