zip_code,county,city_municipality
76607,Harju maakond,Keila linn
76609,Harju maakond,Keila linn
76608,Harju maakond,Keila linn
76901,Harju maakond,Harku vald
93001,Saare maakond,Ruhnu vald
94759,Saare maakond,Muhu vald
94764,Saare maakond,Muhu vald
94741,Saare maakond,Muhu vald
94732,Saare maakond,Muhu vald
94761,Saare maakond,Muhu vald
94749,Saare maakond,Muhu vald
94734,Saare maakond,Muhu vald
94746,Saare maakond,Muhu vald
94724,Saare maakond,Muhu vald
94715,Saare maakond,Muhu vald
94702,Saare maakond,Muhu vald
94701,Saare maakond,Muhu vald
94727,Saare maakond,Muhu vald
94728,Saare maakond,Muhu vald
94716,Saare maakond,Muhu vald
94748,Saare maakond,Muhu vald
94730,Saare maakond,Muhu vald
94742,Saare maakond,Muhu vald
94744,Saare maakond,Muhu vald
94755,Saare maakond,Muhu vald
94731,Saare maakond,Muhu vald
94714,Saare maakond,Muhu vald
94743,Saare maakond,Muhu vald
94757,Saare maakond,Muhu vald
94756,Saare maakond,Muhu vald
71004,Viljandi maakond,Viljandi linn
71010,Viljandi maakond,Viljandi linn
76605,Harju maakond,Keila linn
76906,Harju maakond,Harku vald
76603,Harju maakond,Keila linn
76917,Harju maakond,Harku vald
74806,Harju maakond,Loksa linn
74011,Harju maakond,Viimsi vald
74017,Harju maakond,Viimsi vald
74019,Harju maakond,Viimsi vald
76908,Harju maakond,Harku vald
74805,Harju maakond,Loksa linn
74807,Harju maakond,Loksa linn
74001,Harju maakond,Viimsi vald
74012,Harju maakond,Viimsi vald
74016,Harju maakond,Viimsi vald
74013,Harju maakond,Viimsi vald
74009,Harju maakond,Viimsi vald
74020,Harju maakond,Viimsi vald
76918,Harju maakond,Harku vald
74014,Harju maakond,Viimsi vald
74004,Harju maakond,Viimsi vald
74005,Harju maakond,Viimsi vald
71016,Viljandi maakond,Viljandi linn
71008,Viljandi maakond,Viljandi linn
71020,Viljandi maakond,Viljandi linn
75317,Harju maakond,Rae vald
71013,Viljandi maakond,Viljandi linn
75201,Harju maakond,Raasiku vald
75202,Harju maakond,Raasiku vald
75210,Harju maakond,Raasiku vald
75203,Harju maakond,Raasiku vald
75212,Harju maakond,Raasiku vald
75211,Harju maakond,Raasiku vald
75205,Harju maakond,Raasiku vald
75207,Harju maakond,Raasiku vald
75204,Harju maakond,Raasiku vald
75223,Harju maakond,Raasiku vald
75209,Harju maakond,Raasiku vald
75303,Harju maakond,Rae vald
75314,Harju maakond,Rae vald
75319,Harju maakond,Rae vald
75313,Harju maakond,Rae vald
71007,Viljandi maakond,Viljandi linn
71012,Viljandi maakond,Viljandi linn
71015,Viljandi maakond,Viljandi linn
71003,Viljandi maakond,Viljandi linn
71011,Viljandi maakond,Viljandi linn
74117,Harju maakond,Maardu linn
74113,Harju maakond,Maardu linn
74114,Harju maakond,Maardu linn
74116,Harju maakond,Maardu linn
75316,Harju maakond,Rae vald
75321,Harju maakond,Rae vald
75309,Harju maakond,Rae vald
75323,Harju maakond,Rae vald
75320,Harju maakond,Rae vald
75324,Harju maakond,Rae vald
75310,Harju maakond,Rae vald
74220,Harju maakond,J�el�htme vald
74222,Harju maakond,J�el�htme vald
71005,Viljandi maakond,Viljandi linn
71009,Viljandi maakond,Viljandi linn
71014,Viljandi maakond,Viljandi linn
71017,Viljandi maakond,Viljandi linn
74111,Harju maakond,Maardu linn
94711,Saare maakond,Muhu vald
75311,Harju maakond,Rae vald
94750,Saare maakond,Muhu vald
74630,Harju maakond,Kuusalu vald
75306,Harju maakond,Rae vald
74216,Harju maakond,J�el�htme vald
74229,Harju maakond,J�el�htme vald
74223,Harju maakond,J�el�htme vald
74224,Harju maakond,J�el�htme vald
74226,Harju maakond,J�el�htme vald
74230,Harju maakond,J�el�htme vald
74209,Harju maakond,J�el�htme vald
74212,Harju maakond,J�el�htme vald
74206,Harju maakond,J�el�htme vald
74201,Harju maakond,J�el�htme vald
94723,Saare maakond,Muhu vald
75301,Harju maakond,Rae vald
74205,Harju maakond,J�el�htme vald
74202,Harju maakond,J�el�htme vald
75305,Harju maakond,Rae vald
76912,Harju maakond,Harku vald
76704,Harju maakond,Harku vald
94717,Saare maakond,Muhu vald
94733,Saare maakond,Muhu vald
94753,Saare maakond,Muhu vald
94712,Saare maakond,Muhu vald
75213,Harju maakond,Rae vald
74604,Harju maakond,Kuusalu vald
74632,Harju maakond,Kuusalu vald
74228,Harju maakond,J�el�htme vald
75206,Harju maakond,Raasiku vald
74636,Harju maakond,Kuusalu vald
74703,Harju maakond,Kuusalu vald
74623,Harju maakond,Kuusalu vald
75217,Harju maakond,Rae vald
75224,Harju maakond,J�el�htme vald
94747,Saare maakond,Muhu vald
74221,Harju maakond,J�el�htme vald
94718,Saare maakond,Muhu vald
74207,Harju maakond,J�el�htme vald
76916,Harju maakond,Harku vald
94763,Saare maakond,Muhu vald
94766,Saare maakond,Muhu vald
75208,Harju maakond,Raasiku vald
94765,Saare maakond,Muhu vald
76610,Harju maakond,Keila linn
76921,Harju maakond,Harku vald
76614,Harju maakond,Harku vald
76707,Harju maakond,Harku vald
76919,Harju maakond,Harku vald
75302,Harju maakond,Rae vald
75318,Harju maakond,Rae vald
74112,Harju maakond,Maardu linn
75315,Harju maakond,Rae vald
74006,Harju maakond,Viimsi vald
74010,Harju maakond,Viimsi vald
74015,Harju maakond,Viimsi vald
74203,Harju maakond,J�el�htme vald
74211,Harju maakond,J�el�htme vald
76616,Harju maakond,Keila linn
75322,Harju maakond,Rae vald
74716,Harju maakond,Kuusalu vald
76617,Harju maakond,Harku vald
74812,Harju maakond,Kuusalu vald
94762,Saare maakond,Muhu vald
76909,Harju maakond,Harku vald
74115,Harju maakond,Maardu linn
74701,Harju maakond,Kuusalu vald
75222,Harju maakond,J�el�htme vald
74626,Harju maakond,Kuusalu vald
76902,Harju maakond,Harku vald
75326,Harju maakond,Rae vald
75214,Harju maakond,Raasiku vald
74638,Harju maakond,Kuusalu vald
76903,Harju maakond,Harku vald
74213,Harju maakond,J�el�htme vald
75329,Harju maakond,Rae vald
75307,Harju maakond,Rae vald
94726,Saare maakond,Muhu vald
76924,Harju maakond,Harku vald
76611,Harju maakond,Harku vald
75216,Harju maakond,Raasiku vald
74204,Harju maakond,J�el�htme vald
74629,Harju maakond,Kuusalu vald
74625,Harju maakond,Kuusalu vald
74210,Harju maakond,J�el�htme vald
74702,Harju maakond,Kuusalu vald
74631,Harju maakond,Kuusalu vald
74627,Harju maakond,Kuusalu vald
74607,Harju maakond,Kuusalu vald
74704,Harju maakond,Kuusalu vald
74713,Harju maakond,Kuusalu vald
74007,Harju maakond,Viimsi vald
71024,Viljandi maakond,Viljandi linn
74609,Harju maakond,Kuusalu vald
76706,Harju maakond,Harku vald
75225,Harju maakond,J�el�htme vald
74217,Harju maakond,J�el�htme vald
74225,Harju maakond,J�el�htme vald
74811,Harju maakond,Kuusalu vald
75218,Harju maakond,Rae vald
76910,Harju maakond,Harku vald
76606,Harju maakond,Keila linn
74227,Harju maakond,J�el�htme vald
70109,Viljandi maakond,Viljandi linn
74706,Harju maakond,Kuusalu vald
76923,Harju maakond,Harku vald
94760,Saare maakond,Muhu vald
74810,Harju maakond,Kuusalu vald
74639,Harju maakond,Kuusalu vald
74635,Harju maakond,Kuusalu vald
74621,Harju maakond,Kuusalu vald
74601,Harju maakond,Kuusalu vald
74707,Harju maakond,Kuusalu vald
74608,Harju maakond,Kuusalu vald
94754,Saare maakond,Muhu vald
74816,Harju maakond,Kuusalu vald
94729,Saare maakond,Muhu vald
94745,Saare maakond,Muhu vald
94721,Saare maakond,Muhu vald
70101,Viljandi maakond,Viljandi linn
71018,Viljandi maakond,Viljandi linn
74018,Harju maakond,Viimsi vald
75327,Harju maakond,Rae vald
74612,Harju maakond,Kuusalu vald
74606,Harju maakond,Kuusalu vald
74619,Harju maakond,Kuusalu vald
74633,Harju maakond,Kuusalu vald
74637,Harju maakond,Kuusalu vald
76922,Harju maakond,Harku vald
75325,Harju maakond,Rae vald
74710,Harju maakond,Kuusalu vald
74214,Harju maakond,J�el�htme vald
74616,Harju maakond,Kuusalu vald
74708,Harju maakond,Kuusalu vald
74602,Harju maakond,Kuusalu vald
74215,Harju maakond,J�el�htme vald
74624,Harju maakond,Kuusalu vald
74620,Harju maakond,Kuusalu vald
71001,Viljandi maakond,Viljandi linn
74720,Harju maakond,Kuusalu vald
94720,Saare maakond,Muhu vald
74814,Harju maakond,Kuusalu vald
74605,Harju maakond,Kuusalu vald
74717,Harju maakond,Kuusalu vald
74709,Harju maakond,Kuusalu vald
74614,Harju maakond,Kuusalu vald
74719,Harju maakond,Kuusalu vald
74610,Harju maakond,Kuusalu vald
74617,Harju maakond,Kuusalu vald
74721,Harju maakond,Kuusalu vald
74712,Harju maakond,Kuusalu vald
74210,Harju maakond,Maardu linn
74218,Harju maakond,J�el�htme vald
74208,Harju maakond,J�el�htme vald
74615,Harju maakond,Kuusalu vald
74613,Harju maakond,Kuusalu vald
74640,Harju maakond,Kuusalu vald
74718,Harju maakond,Kuusalu vald
74809,Harju maakond,Kuusalu vald
74813,Harju maakond,Kuusalu vald
74815,Harju maakond,Kuusalu vald
74611,Harju maakond,Kuusalu vald
74618,Harju maakond,Kuusalu vald
74622,Harju maakond,Kuusalu vald
74711,Harju maakond,Kuusalu vald
74628,Harju maakond,Kuusalu vald
74714,Harju maakond,Kuusalu vald
74715,Harju maakond,Kuusalu vald
74121,Harju maakond,Maardu linn
74219,Harju maakond,J�el�htme vald
88210,Pärnu maakond,Lääneranna vald
74634,Harju maakond,Kuusalu vald
74641,Harju maakond,Kuusalu vald
75330,Harju maakond,Rae vald
74121,Harju maakond,J�el�htme vald
74114,Harju maakond,J�el�htme vald
74122,Harju maakond,J�el�htme vald
75312,Harju maakond,Rae vald
10112,Harju maakond,Rae vald
75304,Harju maakond,Rae vald
13816,Harju maakond,Rae vald
10113,Harju maakond,Tallinn
13516,Harju maakond,Tallinn
50412,Tartu maakond,Tartu linn
80047,Pärnu maakond,Pärnu linn
51011,Tartu maakond,Tartu linn
75003,Harju maakond,Kose vald
73402,Järva maakond,Järva vald
80013,Pärnu maakond,Pärnu linn
72009,Järva maakond,Tõri vald
73002,Järva maakond,Järva vald
10411,Harju maakond,Tallinn
75404,Harju maakond,Kiili vald
75401,Harju maakond,Kiili vald
75503,Harju maakond,Saku vald
75505,Harju maakond,Saku vald
73019,Järva maakond,Järva vald
73025,Järva maakond,Järva vald
73027,Järva maakond,Järva vald
75507,Harju maakond,Saku vald
75516,Harju maakond,Saku vald
75413,Harju maakond,Kiili vald
75508,Harju maakond,Saku vald
45204,Lääne-Viru maakond,Kadrina vald
76805,Harju maakond,Paldiski linn
31026,Ida-Viru maakond,Kohtla-Järve linn
31027,Ida-Viru maakond,Kohtla-Järve linn
31021,Ida-Viru maakond,Kohtla-Järve linn
45106,Lääne-Viru maakond,Tapa linn
41536,Ida-Viru maakond,Jõhvi linn
30324,Ida-Viru maakond,Kohtla-Järve linn
30325,Ida-Viru maakond,Kohtla-Järve linn
30721,Ida-Viru maakond,Kohtla-Järve linn
30323,Ida-Viru maakond,Kohtla-Järve linn
73510,Järva maakond,Järva vald
41538,Ida-Viru maakond,Jõhvi linn
41532,Ida-Viru maakond,Jõhvi linn
41533,Ida-Viru maakond,Jõhvi linn
61616,Tartu maakond,Nõo vald
41535,Ida-Viru maakond,Jõhvi linn
60104,Tartu maakond,Kallaste linn
60103,Tartu maakond,Kallaste linn
75107,Harju maakond,Kose vald
10919,Harju maakond,Tallinn
41102,Ida-Viru maakond,Alutaguse vald
